Time,Y,Y_type,CL,Drug,ConcInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2937.29333333333,IL10,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL6,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IL6,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL6,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IL6,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,23.5357133333333,IL6,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,35.6577733333333,IL6,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13.9525276666667,IL6,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,59.2127133333333,IL6,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,146.920966666667,IL6,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,200.407533333333,IL6,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,67.63519,IL6,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,231.150333333333,IL6,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,347.4072,IL6,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,724.568466666667,IL6,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,48.2805066666667,IL6,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,256.545433333333,IL6,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,469.4149,IL6,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,953.8643,IL6,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43.6864266666667,IL6,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,206.988933333333,IL6,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,460.047866666667,IL6,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,850.394033333333,IL6,HighExpr,HighAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IFNg,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IFNg,HighExpr,HighAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IFNg,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IFNg,HighExpr,HighAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IFNg,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,37.9275466666667,IFNg,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,158.4952,IFNg,HighExpr,HighAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,96.5365566666667,IFNg,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,276.235766666667,IFNg,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,864.724933333333,IFNg,HighExpr,HighAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,624.122133333333,IFNg,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2132.31266666667,IFNg,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3999.65033333333,IFNg,HighExpr,HighAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IFNg,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,795.0185,IFNg,HighExpr,HighAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
